N, Price
0,0
5000,8.10226
10000,8.10245
15000,8.10252
20000,8.10255
25000,8.10257
30000,8.10258
35000,8.10259
40000,8.1026
45000,8.1026
50000,8.10261
55000,8.10261
60000,8.10261
65000,8.10261
70000,8.10262
75000,8.10262
80000,8.10262
85000,8.10262
90000,8.10262
95000,8.10262
100000,8.10262
