S0,Option Price
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,42
59,41
60,40
61,39
62,38
63,37
64,36
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,28
73,27
74,26.0015
75,25.019
76,24.0557
77,23.112
78,22.1881
79,21.2842
80,20.4007
81,19.5379
82,18.696
83,17.8754
84,17.0762
85,16.2987
86,15.5431
87,14.8096
88,14.0996
89,13.412
90,12.7468
91,12.1039
92,11.4832
93,10.8843
94,10.3072
95,9.75278
96,9.2222
97,8.71257
98,8.22339
99,7.75419
100,7.30458
101,6.87937
102,6.47268
103,6.08388
104,5.7124
105,5.36151
106,5.02927
107,4.71244
108,4.41045
109,4.12754
110,3.86014
111,3.60557
112,3.3644
113,3.14086
114,2.92817
115,2.72593
116,2.53956
117,2.36324
118,2.19559
119,2.0413
120,1.89606
121,1.75793
122,1.63174
123,1.5127
124,1.39948
125,1.29751
126,1.20031
127,1.10938
128,1.02649
129,0.947338
130,0.875291
131,0.807948
132,0.74427
133,0.68727
134,0.63261
135,0.58315
136,0.536905
137,0.493621
138,0.454656
139,0.417148
140,0.38419
141,0.352539
142,0.323997
143,0.29737
144,0.272727
145,0.250384
146,0.229177
147,0.210467
148,0.19228
149,0.176637
150,0.16131
