S0,Option Price
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,42
59,41
60,40
61,39
62,38
63,37
64,36
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,28
73,27
74,26
75,25
76,24
77,23
78,22
79,21
80,20
81,19
82,18.0239
83,17.0849
84,16.1823
85,15.3155
86,14.4837
87,13.6862
88,12.9227
89,12.192
90,11.4934
91,10.8258
92,10.1886
93,9.58073
94,9.0014
95,8.45072
96,7.9285
97,7.43221
98,6.96089
99,6.51358
100,6.0896
101,5.69148
102,5.31456
103,4.9579
104,4.62066
105,4.30481
106,4.00815
107,3.72806
108,3.46382
109,3.21819
110,2.98786
111,2.77075
112,2.56717
113,2.37946
114,2.20258
115,2.03611
116,1.88365
117,1.74059
118,1.60595
119,1.48286
120,1.36784
121,1.25957
122,1.16126
123,1.06922
124,0.982626
125,0.904913
126,0.831512
127,0.763519
128,0.70177
129,0.6434
130,0.590649
131,0.541629
132,0.49578
133,0.454844
134,0.415975
135,0.381059
136,0.34859
137,0.318515
138,0.291513
139,0.2658
140,0.243296
141,0.221856
142,0.202673
143,0.18486
144,0.168539
145,0.153779
146,0.139928
147,0.127724
148,0.116004
149,0.10593
150,0.0961623
