S0,Option Price
50,0.000484403
51,0.000730862
52,0.00108638
53,0.00158377
54,0.00228334
55,0.00323667
56,0.00452609
57,0.00626528
58,0.00851533
59,0.01152
60,0.0153646
61,0.0202085
62,0.0264382
63,0.0342231
64,0.0437958
65,0.0554813
66,0.0699232
67,0.0873888
68,0.108252
69,0.133005
70,0.16219
71,0.196389
72,0.236387
73,0.282992
74,0.336608
75,0.397951
76,0.46776
77,0.546795
78,0.63583
79,0.735644
80,0.847018
81,0.970728
82,1.10754
83,1.25818
84,1.42338
85,1.60382
86,1.80015
87,2.01307
88,2.24451
89,2.49395
90,2.76179
91,3.04848
92,3.35434
93,3.67971
94,4.02482
95,4.39085
96,4.77967
97,5.18912
98,5.6192
99,6.0699
100,6.54119
101,7.03738
102,7.55448
103,8.09214
104,8.65018
105,9.23109
106,9.83436
107,10.4576
108,11.1005
109,11.766
110,12.4525
111,13.1579
112,13.8827
113,14.6299
114,15.3954
115,16.1789
116,16.9834
117,17.8061
118,18.6462
119,19.5056
120,20.3827
121,21.2767
122,22.189
123,23.1178
124,24.0631
125,25.0263
126,26.0052
127,27
128,28
129,29
130,30
131,31
132,32
133,33
134,34
135,35
136,36
137,37
138,38
139,39
140,40
141,41
142,42
143,43
144,44
145,45
146,46
147,47
148,48
149,49
150,50
